city,country
Ciudad de México, México 
Nueva York, Estados Unidos 
Londres, Reino Unido 
París, Francia 
Tokio, Japón 
Río de Janeiro, Brasil 
Sydney, Australia 
Roma, Italia 
Madrid, España 
Buenos Aires, Argentina 
Toronto, Canadá 
Pekín, China 
Estambul, Turquía 
Dubái, Emiratos Árabes Unidos 
Ciudad del Cabo, Sudáfrica 
Bangkok, Tailandia 
Moscú, Rusia 
Los Ángeles, Estados Unidos 
Ámsterdam, Países Bajos 
Ciudad de Ho Chi Minh, Vietnam 
Seúl, Corea del Sur 
Atenas, Grecia 
Cancún, México 
Singapur, Singapur 
San Francisco, Estados Unidos 
Barcelona, España 
Sídney, Australia 
Lima, Perú 
Berlín, Alemania 
Nairobi, Kenia 
Miami, Estados Unidos 
Estocolmo, Suecia 
Zúrich, Suiza 
Montreal, Canadá 
Venecia, Italia 
Praga, República Checa 
Oslo, Noruega 
Ámsterdam, Países Bajos 
Marrakech, Marruecos 
Viena, Austria 
San Petersburgo, Rusia 
Cancún, México 
Helsinki, Finlandia 
Ciudad de Kuwait, Kuwait 
Colonia, Alemania 
Budapest, Hungría 
Viena, Austria 
Chicago, Estados Unidos 
Lisboa, Portugal 
Abu Dhabi, Emiratos Árabes Unidos 
